Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0x9e260d3fb83788eea805454091d58c014ceb78f734175f716c06eac452d6e3c9,2021-10-03 09:07:22,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xd620aadabaa20d2af700853c4504028cba7c3333,ETH Transfer,,ETH,,0.019,0.001109793461574
0xa619194c496b77ce077e01c6d4e70ea6a0011e225db125b451df67a43f8c6c9c,2021-10-03 09:29:40,0xd620aadabaa20d2af700853c4504028cba7c3333,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,Contract Interaction,,ETH,,0.0,0.00219438
0x32562e09e7cb6e96cf1b863bd2ed2bd8743c1d2ef351ebf5a5be6e9ddc5c6f02,2021-10-03 09:31:17,0xd620aadabaa20d2af700853c4504028cba7c3333,0x401f6c983ea34274ec46f84d70b31c151321188b,Contract Interaction,,ETH,,0.0,0.006669585
0xfc6c27b964b6f27ce5f036ee16e75ef1b353cb329904b8a0489dcff9158e386e,2021-10-04 09:09:54,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,0xd620aadabaa20d2af700853c4504028cba7c3333,ETH Transfer,,ETH,,0.098999,0.001260852314232
0xc1693b6ab73c9c9274fece784436363c84bd5861c74fba31f677a94cb32c38f7,2021-10-04 09:31:09,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Contract Interaction,,ETH,,0.08,0.00341965108331238
0x115770b0e59898e55e73bda0310b5e7f0d767ada0933693777317a5b17ac1fb4,2022-05-11 08:30:34,0x7e28bbdcc4d3c3c8df646c37ac0ee66ad1c9c04d,0xd620aadabaa20d2af700853c4504028cba7c3333,ETH Transfer,,ETH,,0.2,0.001872325945245
0x4cd88e0ffce450f3edbc169c3690d008b363b083611ece8b18c4146424827bc1,2022-05-11 09:12:23,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.01834498129272981
0x51cf322f491378cbfb501df941080bb90c1fe13ff35a92dd191a1bbb5230c691,2022-05-11 09:13:29,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdac17f958d2ee523a2206206994597c13d831ec7,Contract Interaction,,ETH,,0.0,0.002988733364870715
0x8f46b9e76ad59c41cb21356db6224555ebd451d4ebac0b892a34861fc581f6eb,2022-05-11 09:26:16,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.004097135060522815
0x60592fe3e0cd0a788c35fb2551ee72771447c36cf5c931d3e23acf77140a9a85,2022-05-11 11:25:01,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.02375032973664532
0xe4a59bdf739c8a30c2a626d38a78233d7ffc95cdb301bd82f75f99ea69e702a7,2022-05-11 11:29:15,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Contract Interaction,,ETH,,0.0,0.003725939372802801
0xd2d534674b0f8129cac56ae19ea8f55bd1431b4c38b1e80f22b62e67a40742c1,2022-05-11 11:30:47,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Contract Interaction,,ETH,,0.0,0.006351388827472662
0x3585333c22e8dc2f3c86b2a6a6b06da9ef9b1ae98aa96ad5d2dd2f57cfffed81,2022-05-11 16:52:45,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Contract Interaction,,ETH,,0.0,0.012351462280483241
0xff91d0c5f9cd4346a2352c45d5b49fbf2db4f4b79b7d948d9dfa33884d11e899,2022-05-11 17:48:30,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.03817408366078389
0x1ab8e1340d0a257817e975a8b5a987c385505abfa937165ad40f6c37673d7e4c,2022-05-11 17:58:23,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0xd620aadabaa20d2af700853c4504028cba7c3333,ETH Transfer,,ETH,,0.3984,0.003098180058288
0xafdbe1ac7692c33c84eb8b37d0d791636023825f0ffbc9d8da9d1cf29922e0ed,2022-05-11 18:01:15,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.06889877410552943
0xb73ee94a75bfa7c0178fc6e74cbff25babd98d1eccb1e7a64a4c927880a12b4c,2022-05-11 18:06:15,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.05331012022371396
0x6c0e13404bd37c4142989bcb72252171daa95dec1c5e058ddb573d4c1e9b9698,2022-05-11 18:07:58,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.024981682159394954
0xe0151412c6e93a553ba6c2fba5524adc86cddd8a9f926b724a71628ab881a603,2022-05-11 18:12:20,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.03058962623641741
0x06e85d5e739448385e45aa9e0ff4720fd239589275ca8c146d0f81548470c4f2,2022-05-11 18:18:44,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdac17f958d2ee523a2206206994597c13d831ec7,Contract Interaction,,ETH,,0.0,0.005444125505799822
0x99a8d2b44f9c6ae64463c3f5b4ff5b927eb778ca6429bd7d0faef950c326e530,2022-05-11 18:19:45,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Contract Interaction,,ETH,,0.0,0.01396273005463962
0x04611983bd9a8a688e371aabd4f4e4de677a9cf2ed77eacb36734ca790707046,2022-05-12 08:08:17,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,0xd620aadabaa20d2af700853c4504028cba7c3333,ETH Transfer,,ETH,,0.4984,0.009724883885703
0x92dc33d442b2b761cbf2244c86577b4556335ec0cd044acc8754f09fde0daf51,2022-05-12 11:52:15,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Contract Interaction,,ETH,,0.0,0.022102215440294865
0x91e942b585100a00f097e14122846c05dbea6b21236395652f1f787e618e4f2d,2022-05-12 12:15:18,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Contract Interaction,,ETH,,0.0,0.08473141250036877
0xb17330adf25c1c8ce034f2f9c2fb544de2db4400b0a78e7490eac1ea9d559a1f,2022-05-12 12:25:09,0xd620aadabaa20d2af700853c4504028cba7c3333,0xdac17f958d2ee523a2206206994597c13d831ec7,Contract Interaction,,ETH,,0.0,0.008478950156312013
0x3995b647a894a509515602f0552209aba617e7ae4d7b3303c876c0b4f4f2bd32,2022-05-12 12:26:44,0xd620aadabaa20d2af700853c4504028cba7c3333,0x1111111254fb6c44bac0bed2854e76f90643097d,Contract Interaction,,ETH,,0.0,0.06804480430032639
0x57a8ce41f7dc88e6c717e482cc31b69e8370d1c18d9aa0b7181efd72e2bad14b,2022-05-12 13:05:41,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Contract Interaction,,ETH,,0.0,0.016200256386318185
0x5592d860fa364fc4548f9777c9ec6c3ae77b730e51b13c3f093d1eb814b86494,2022-05-12 13:08:12,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0c68c638235ee32657e8f720a23cec1bfc77c77,Contract Interaction,,ETH,,0.0,0.013066909366927336
0xc0df07c2be4321b0ec1d2ac341c20cb5d5e6694e32fa2cd070ad05c43bc867f7,2022-05-21 01:51:10,0xd620aadabaa20d2af700853c4504028cba7c3333,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,Contract Interaction,,ETH,,0.0515,0.003640735189293824
0x65512f50ba2aadd3c4c72da094d031a73a8fad5ad4ffb1ab97e029f6227e6f33,2022-05-21 01:52:27,0xd620aadabaa20d2af700853c4504028cba7c3333,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Contract Interaction,,ETH,,0.0,0.001504158309516016
0x14b166841c7183cbca8504b89be91e903ae95221d2bd4556939106d319c82bdd,2022-05-21 01:52:55,0xd620aadabaa20d2af700853c4504028cba7c3333,0x23ddd3e3692d1861ed57ede224608875809e127f,Contract Interaction,,ETH,,0.0,0.001750360778886274
